#{"env_id": null, "t_start": 1589010681.6361809}
r,l,t,score
0,57,3901.960302,0
0,79,3903.376984,0
0,73,3904.184689,0
0,122,3906.041553,0
0,59,3907.272669,0
0,77,3908.038703,0
0,62,3909.321584,0
0,81,3910.178336,0
0,86,3911.648702,0
0,59,3912.316049,0
0,88,3913.829266,0
0,73,3915.190628,0
0,75,3915.974998,0
0,86,3917.441552,0
0,90,3918.976567,0
0,83,3919.889255,0
0,93,3921.475876,0
0,55,3922.050542,0
0,51,3923.170127,0
0,90,3924.752953,0
0,106,3925.882164,0
0,83,3927.372398,0
0,66,3928.671035,0
0,88,3929.662173,0
0,75,3931.065067,0
0,112,3932.885889,0
0,58,3933.54578,0
0,83,3935.028823,0
0,101,3936.706609,0
0,95,3937.704876,0
0,61,3938.983041,0
0,65,3939.658707,0
43,234,3943.335981,43
92,251,3947.063495,92
109,270,3951.007909,109
82,185,3954.11042,82
62,220,3957.009913,62
189,2040,3986.652735,189
152,1225,4004.954459,152
113,652,4014.59466,113
206,1425,4035.454859,206
167,1525,4059.100324,167
52,95,4060.795424,52
140,1526,4084.38823,140
66,716,4095.108991,66
74,1133,4112.844187,74
133,397,4118.895407,133
52,445,4126.096359,52
104,856,4139.291192,104
166,1151,4157.233206,166
158,570,4166.384906,158
64,737,4177.82611,64
140,1069,4194.020638,140
202,1721,4219.469288,202
55,348,4225.095248,55
52,451,4232.406443,52
11,69,4233.30151,11
11,202,4236.638435,11
24,287,4241.070044,24
100,465,4248.488935,100
20,564,4257.239133,20
3,480,4264.905821,3
3,845,4277.969751,3
3,658,4289.030978,3
3,388,4295.121785,3
3,294,4299.605329,3
74,725,4311.263246,74
144,408,4317.45222,144
128,833,4329.948161,128
105,1021,4345.772825,105
107,347,4351.282198,107
54,266,4355.259476,54
41,340,4360.746742,41
110,907,4374.562701,110
103,786,4386.607002,103
120,603,4396.027385,120
88,185,4398.67946,88
117,611,4408.462765,117
113,365,4414.253989,113
131,721,4424.858013,131
101,315,4430.111923,101
44,401,4436.342407,44
121,611,4445.837738,121
108,599,4454.754795,108
88,388,4460.874468,88
128,622,4470.327434,128
58,705,4481.584083,58
51,642,4491.602553,51
18,194,4494.351999,18
135,860,4508.15356,135
133,423,4514.651016,133
83,438,4521.940761,83
214,831,4534.564876,214
60,207,4538.066054,60
103,461,4545.02729,103
96,554,4554.205242,96
81,285,4558.574661,81
114,573,4567.341396,114
181,944,4582.248732,181
110,282,4586.448253,110
124,416,4592.83633,124
99,646,4602.758915,99
123,550,4611.492868,123
228,2003,4641.489778,228
153,483,4649.08886,153
1,28,4649.425473,1
1,20,4649.638869,1
41,481,4657.223448,41
7,37,4657.66633,7
7,84,4659.145578,7
1,21,4659.407919,1
20,414,4666.473394,20
26,209,4669.438388,26
26,203,4672.879446,26
33,1638,4698.805792,33
109,704,4709.679763,109
36,615,4719.50549,36
43,1573,4744.055301,43
12,373,4749.950838,12
13,858,4763.531349,13
0,100,4765.24753,0
22,217,4768.331965,22
26,496,4776.294778,26
57,1021,4792.469616,57
47,330,4797.906078,47
9,81,4798.77892,9
128,958,4813.846314,128
106,557,4822.019224,106
172,872,4835.412792,172
77,248,4839.295932,77
91,480,4846.794371,91
54,238,4849.96936,54
63,658,4860.775159,63
104,560,4869.249912,104
75,226,4872.605767,75
52,103,4874.242036,52
110,1265,4890.723484,110
80,400,4896.592233,80
159,787,4907.005453,159
17,61,4907.587824,17
121,606,4915.990131,121
233,1546,4938.188486,233
12,325,4943.71418,12
0,104,4944.905276,0
0,105,4946.695715,0
0,38,4947.091106,0
0,70,4948.479414,0
0,113,4950.355618,0
0,59,4950.997462,0
0,69,4952.350791,0
0,122,4954.317813,0
0,68,4955.044584,0
0,122,4956.973957,0
0,71,4958.385941,0
0,60,4959.032107,0
0,70,4960.443661,0
0,64,4961.105541,0
0,68,4962.507793,0
0,107,4964.290494,0
0,80,4965.158171,0
0,72,4966.573659,0
0,83,4968.126623,0
