#{"env_id": null, "t_start": 1593475393.4799285}
r,l,t,score,ghosts,win,d
-80,237,1127.449564,70,4,0,0
-7,302,1130.519449,143,4,0,0
78,525,1135.688212,228,2,0,0
65,582,1141.704116,215,2,0,0
14,1001,1151.262111,164,2,0,0
22,686,1158.33622,172,1,0,0
80,1227,1170.391423,230,2,0,0
-37,257,1173.053902,113,4,0,0
56,2330,1195.073503,206,1,0,0
67,305,1198.030496,217,3,0,0
32,848,1206.206361,182,1,0,0
68,250,1208.712558,218,4,0,0
113,355,1212.120221,263,4,0,0
59,625,1218.302083,209,1,0,0
37,2459,1241.573495,187,1,0,0
-17,190,1243.752296,133,3,0,0
73,396,1247.873064,223,3,0,0
19,327,1251.246254,169,3,0,0
24,817,1259.362776,174,3,0,0
64,1159,1270.310226,214,1,0,0
73,730,1277.988173,223,4,0,0
114,1007,1287.716641,264,2,0,0
37,307,1290.727395,187,4,0,0
25,375,1294.467647,175,4,0,0
35,986,1303.59218,185,1,0,0
-53,197,1305.554375,97,4,0,0
64,673,1311.710799,214,1,0,0
129,573,1317.698638,279,3,0,0
38,538,1322.834697,188,2,0,0
-64,143,1324.338741,86,4,0,0
73,859,1332.751995,223,2,0,0
19,458,1337.276471,169,3,0,0
75,260,1340.190031,225,2,0,0
26,930,1348.914753,176,1,0,0
13,198,1350.694443,163,4,0,0
117,327,1354.228228,267,4,0,0
94,386,1357.994275,244,1,0,0
25,310,1361.115273,175,3,0,0
10,205,1363.429358,160,2,0,0
92,262,1366.07305,242,4,0,0
29,405,1369.965516,179,1,0,0
42,386,1373.68153,192,4,0,0
3,265,1376.413047,153,3,0,0
160,327,1379.965872,310,4,0,0
40,802,1387.794466,190,2,0,0
99,886,1396.644324,249,3,0,0
60,288,1399.444463,210,3,0,0
79,429,1403.90506,229,3,0,0
118,293,1406.869177,268,3,0,0
-2,268,1409.5843,148,3,0,0
48,211,1411.907383,198,3,0,0
59,484,1416.602972,209,4,0,0
106,847,1425.010308,256,2,0,0
63,306,1427.998967,213,3,0,0
71,341,1431.432033,221,2,0,0
107,595,1437.133982,257,1,0,0
23,250,1439.724003,173,2,0,0
125,499,1444.835451,275,3,0,0
76,311,1447.66926,226,2,0,0
-11,268,1450.446847,139,3,0,0
95,1283,1462.535054,245,1,0,0
21,486,1467.486971,171,2,0,0
2,318,1470.618633,152,3,0,0
31,304,1473.707818,181,2,0,0
144,397,1477.673005,294,3,0,0
97,427,1481.918735,247,2,0,0
106,879,1490.425265,256,1,0,0
83,1989,1509.325872,233,1,0,0
114,1023,1518.945239,264,1,0,0
50,502,1523.595803,200,3,0,0
104,793,1531.641965,254,3,0,0
82,1685,1547.146779,232,1,0,0
84,1573,1561.993599,234,1,0,0
105,391,1565.967323,255,4,0,0
78,922,1574.676018,228,1,0,0
-5,181,1576.665247,145,2,0,0
83,275,1579.337577,233,2,0,0
64,244,1581.900194,214,4,0,0
85,328,1585.067076,235,4,0,0
73,611,1590.847841,223,1,0,0
68,214,1592.945545,218,4,0,0
14,204,1594.848319,164,4,0,0
48,256,1597.430746,198,3,0,0
101,850,1605.82877,251,1,0,0
48,200,1608.065901,198,2,0,0
21,257,1610.651735,171,4,0,0
71,205,1612.542383,221,3,0,0
111,250,1615.063754,261,3,0,0
84,1209,1626.43515,234,1,0,0
38,317,1629.309298,188,2,0,0
114,326,1632.628556,264,3,0,0
65,204,1634.533261,215,4,0,0
36,312,1637.983181,186,4,0,0
60,211,1639.962852,210,4,0,0
86,352,1643.552237,236,4,0,0
22,333,1646.960176,172,2,0,0
-7,206,1648.838025,143,2,0,0
130,565,1654.81479,280,3,0,0
80,354,1658.456584,230,2,0,0
