#{"t_start": 1595257146.9117842, "env_id": null}
r,l,t,score,ghosts,level,win,d,map
-151.0,255,673.983668,2,1,1,0,0,data/map1.bmp
-152.0,198,677.263451,11,4,0,0,0,data/map2.bmp
-149.5,47,678.474602,1,2,2,0,0,data/map1.bmp
-152.0,189,681.710578,1,4,0,0,0,data/map1.bmp
-152.0,468,690.093387,12,2,1,0,0,data/map2.bmp
-151.0,204,693.440458,2,4,1,0,0,data/map1.bmp
-140.5,339,699.320352,12,1,1,0,0,data/map2.bmp
-140.5,367,705.798559,12,4,0,0,0,data/map2.bmp
-195.5,652,717.017113,35,2,1,0,0,data/map2.bmp
-164.5,313,722.490313,2,1,1,0,0,data/map1.bmp
-152.0,189,726.243043,7,4,0,0,0,data/map2.bmp
-149,74,727.308351,1,4,0,0,0,data/map1.bmp
-153.5,166,730.556409,7,4,2,0,0,data/map2.bmp
-150.0,87,731.769314,1,4,1,0,0,data/map1.bmp
-157.5,138,735.132436,6,4,1,0,0,data/map2.bmp
-149.5,101,736.570283,1,4,2,0,0,data/map1.bmp
-151.5,182,740.130038,1,4,1,0,0,data/map1.bmp
-158.5,125,742.441599,7,4,0,0,0,data/map2.bmp
-151.0,49,743.127648,2,4,2,0,0,data/map1.bmp
-170.5,131,745.364463,7,4,0,0,0,data/map2.bmp
-180.0,148,748.043626,2,2,2,0,0,data/map1.bmp
-184.5,188,751.64317,6,4,0,0,0,data/map2.bmp
-215.5,1658,779.774544,83,1,1,0,0,data/map2.bmp
-138.0,127,782.064317,17,4,2,0,0,data/map2.bmp
-141.0,259,786.529231,41,4,0,0,0,data/map2.bmp
-146.0,115,788.784622,18,4,2,0,0,data/map1.bmp
-159.0,722,801.950485,71,4,0,0,0,data/map2.bmp
-156.5,111,804.042164,2,4,1,0,0,data/map1.bmp
-147.5,139,806.594131,14,4,0,0,0,data/map1.bmp
-135.0,150,809.314646,21,4,1,0,0,data/map1.bmp
-149.5,99,811.236004,7,4,0,0,0,data/map1.bmp
-136.0,166,814.258996,23,4,1,0,0,data/map1.bmp
-156.5,343,820.747117,41,4,0,0,0,data/map1.bmp
-144.5,228,824.947654,26,4,0,0,0,data/map2.bmp
-134.5,266,829.704435,35,4,1,0,0,data/map2.bmp
-154.0,98,831.690083,10,2,2,0,0,data/map1.bmp
-148.0,121,834.01684,12,4,2,0,0,data/map1.bmp
-155.5,73,835.045233,0,4,2,0,0,data/map1.bmp
-139.0,116,837.206518,22,4,1,0,0,data/map1.bmp
-146.0,292,842.481836,35,4,0,0,0,data/map1.bmp
-146.5,1464,868.617404,35,1,1,0,0,data/map1.bmp
-201.5,458,876.514647,48,2,2,0,0,data/map1.bmp
-149.5,148,879.75282,2,4,2,0,0,data/map1.bmp
-150.5,266,884.199392,20,1,1,0,0,data/map2.bmp
-136.0,149,886.772817,27,2,2,0,0,data/map1.bmp
-158.0,688,897.955046,47,1,1,0,0,data/map2.bmp
-125.5,515,907.0776,56,1,1,0,0,data/map1.bmp
-163.5,156,910.456934,6,4,2,0,0,data/map2.bmp
-142.0,47,911.133025,13,4,2,0,0,data/map1.bmp
-150.0,167,913.988108,24,4,0,0,0,data/map2.bmp
-140.0,301,919.721059,39,4,1,0,0,data/map1.bmp
-152.0,115,921.330042,19,4,2,0,0,data/map2.bmp
-137.0,285,926.762002,36,4,0,0,0,data/map1.bmp
-154.0,2164,960.936325,53,1,1,0,0,data/map2.bmp
-149.0,364,964.556257,45,4,0,0,0,data/map1.bmp
-141.5,151,966.496812,23,4,0,0,0,data/map2.bmp
-122.5,223,968.682245,43,2,2,0,0,data/map1.bmp
-153.0,130,970.105512,12,4,0,0,0,data/map2.bmp
-179.0,558,976.474693,49,4,0,0,0,data/map1.bmp
-143.0,313,979.35944,32,2,1,0,0,data/map2.bmp
-139.5,199,981.607043,32,4,2,0,0,data/map2.bmp
-139.5,169,983.415515,31,4,2,0,0,data/map2.bmp
-141.5,271,986.290339,44,4,0,0,0,data/map2.bmp
-141.0,233,988.901194,27,4,0,0,0,data/map1.bmp
-162.5,257,991.660864,29,4,0,0,0,data/map2.bmp
-147.5,114,992.970387,27,4,2,0,0,data/map2.bmp
-157.5,822,1001.279792,46,1,1,0,0,data/map1.bmp
-143.0,175,1003.41014,26,4,2,0,0,data/map1.bmp
-168.5,345,1006.575999,20,2,1,0,0,data/map2.bmp
-143.0,252,1009.412118,36,4,0,0,0,data/map1.bmp
-163.0,483,1014.718239,50,4,0,0,0,data/map1.bmp
-158.0,45,1015.118697,0,4,1,0,0,data/map1.bmp
-153.5,274,1018.204623,28,2,1,0,0,data/map2.bmp
-145.0,87,1018.886855,15,2,2,0,0,data/map1.bmp
-224.5,341,1022.525421,32,1,1,0,0,data/map2.bmp
-208.0,1879,1041.481711,34,1,1,0,0,data/map1.bmp
-148.5,114,1042.454425,3,2,2,0,0,data/map1.bmp
-148.5,297,1045.690612,20,2,1,0,0,data/map2.bmp
-140.0,300,1048.719416,30,1,1,0,0,data/map1.bmp
-182.5,295,1051.845431,17,4,0,0,0,data/map1.bmp
-144.0,73,1052.829544,12,4,2,0,0,data/map1.bmp
-135.0,247,1055.469314,46,4,0,0,0,data/map2.bmp
-142.0,374,1059.332186,49,2,1,0,0,data/map2.bmp
-158.5,518,1064.54456,45,4,0,0,0,data/map2.bmp
-187.5,644,1071.237185,40,4,0,0,0,data/map2.bmp
-144.0,230,1073.566158,21,2,1,0,0,data/map2.bmp
-179.5,333,1076.78932,44,2,1,0,0,data/map2.bmp
-149.0,124,1078.156909,13,4,1,0,0,data/map1.bmp
-165.5,122,1079.47534,14,4,0,0,0,data/map2.bmp
-146.0,99,1080.568401,18,4,2,0,0,data/map2.bmp
-160.5,76,1081.464073,11,4,2,0,0,data/map2.bmp
-152.5,43,1081.833594,8,4,2,0,0,data/map2.bmp
-140.0,363,1085.760744,34,4,1,0,0,data/map1.bmp
-151.5,88,1086.869075,2,4,2,0,0,data/map1.bmp
-134.5,306,1089.891948,64,4,0,0,0,data/map2.bmp
-130.5,143,1091.338306,40,2,1,0,0,data/map2.bmp
-155.0,21,1091.498105,0,4,2,0,0,data/map1.bmp
-125.5,90,1092.464135,37,4,2,0,0,data/map2.bmp
-179.0,1175,1103.806366,40,1,1,0,0,data/map2.bmp
-168.5,295,1106.96428,17,4,1,0,0,data/map1.bmp
-249.5,2331,1131.111615,57,1,1,0,0,data/map1.bmp
-134.5,233,1133.216808,47,1,1,0,0,data/map2.bmp
-155.0,95,1134.29569,11,4,0,0,0,data/map2.bmp
-144.5,144,1135.860387,10,4,1,0,0,data/map1.bmp
-155.0,110,1137.002975,13,4,2,0,0,data/map2.bmp
-165.5,197,1139.208269,16,4,1,0,0,data/map2.bmp
-138.0,199,1141.176672,19,2,2,0,0,data/map1.bmp
-148.0,277,1144.318727,4,4,1,0,0,data/map1.bmp
-139.0,117,1145.507853,20,4,2,0,0,data/map1.bmp
-133.5,346,1149.147974,38,2,1,0,0,data/map2.bmp
-125.5,223,1151.420401,37,2,1,0,0,data/map2.bmp
-147.0,915,1160.181515,55,1,1,0,0,data/map2.bmp
