#{"t_start": 1595900860.7994876, "env_id": null}
r,l,t,score,ghosts,level,win,d,map
-160.5,44,717.237985,1,4,1,0,0,data/map1.bmp
-143.5,37,717.554987,8,4,2,0,0,data/map1.bmp
-175.0,579,723.693863,56,1,1,0,0,data/map1.bmp
-138.0,386,727.801198,28,4,1,0,0,data/map2.bmp
-154.5,153,729.351181,17,4,0,0,0,data/map1.bmp
-121.0,442,733.843991,49,4,1,0,0,data/map2.bmp
-142.0,118,735.126452,25,4,0,0,0,data/map1.bmp
-156.5,629,741.73011,38,4,0,0,0,data/map2.bmp
-126.5,317,744.961087,30,4,2,0,0,data/map2.bmp
-142.5,384,749.00005,30,2,1,0,0,data/map2.bmp
-140.5,82,749.675637,16,2,2,0,0,data/map1.bmp
-142.5,107,750.931,15,4,1,0,0,data/map1.bmp
-190.0,334,754.44814,30,1,1,0,0,data/map1.bmp
-156.0,1203,766.132795,95,1,1,0,0,data/map2.bmp
-139.0,95,767.285388,19,4,2,0,0,data/map1.bmp
-113.0,1115,778.397701,111,1,1,0,0,data/map2.bmp
-108.5,443,782.785201,57,2,1,0,0,data/map2.bmp
-149.0,58,783.677076,10,4,2,0,0,data/map1.bmp
-170.5,1736,800.561325,110,1,1,0,0,data/map2.bmp
-152.5,84,801.534486,11,4,1,0,0,data/map1.bmp
-105.0,188,803.424779,53,4,1,0,0,data/map2.bmp
-118.0,195,805.563284,46,4,2,0,0,data/map2.bmp
-85.0,431,809.901858,99,4,0,0,0,data/map2.bmp
-136.5,51,810.634204,19,2,2,0,0,data/map1.bmp
-158.0,96,811.329875,5,2,2,0,0,data/map1.bmp
-142.5,98,812.520569,19,4,1,0,0,data/map1.bmp
-109.5,372,816.57645,59,4,0,0,0,data/map2.bmp
-145.0,36,816.909599,10,2,2,0,0,data/map1.bmp
-130.0,192,819.087432,47,2,2,0,0,data/map1.bmp
-120.5,214,821.266325,49,4,2,0,0,data/map2.bmp
-105.0,210,823.532506,51,4,2,0,0,data/map2.bmp
-160.5,1354,837.263061,65,2,1,0,0,data/map2.bmp
-130.5,123,838.585724,25,4,2,0,0,data/map2.bmp
-151.5,76,839.266902,12,4,0,0,0,data/map1.bmp
-137.5,187,841.333922,29,4,0,0,0,data/map2.bmp
-153.5,34,841.669571,0,4,1,0,0,data/map1.bmp
-150.5,32,841.952377,1,2,2,0,0,data/map1.bmp
-127.5,631,848.222234,56,2,1,0,0,data/map2.bmp
-106.0,600,854.144578,81,4,0,0,0,data/map2.bmp
-106.0,98,855.320462,47,4,2,0,0,data/map2.bmp
-62.5,286,858.036743,108,2,1,0,0,data/map2.bmp
-113.5,279,860.934697,52,2,1,0,0,data/map2.bmp
-148.5,569,866.58235,73,2,1,0,0,data/map2.bmp
-163.5,715,873.826895,84,1,1,0,0,data/map1.bmp
-117.5,124,875.156671,38,4,1,0,0,data/map2.bmp
-141.0,61,875.686365,10,4,2,0,0,data/map1.bmp
-138.5,162,877.542639,32,4,2,0,0,data/map2.bmp
-129.0,111,878.716583,33,4,2,0,0,data/map2.bmp
-140.0,380,882.744732,40,4,1,0,0,data/map1.bmp
-132.5,224,884.963414,47,4,1,0,0,data/map2.bmp
-173.0,2257,907.008596,79,1,1,0,0,data/map2.bmp
-183.5,540,912.692712,74,4,0,0,0,data/map1.bmp
-102.5,334,916.314167,70,4,0,0,0,data/map2.bmp
-132.0,103,917.485236,28,2,2,0,0,data/map1.bmp
-200.5,1924,936.787952,90,1,1,0,0,data/map1.bmp
-151.5,214,938.94181,44,4,1,0,0,data/map2.bmp
-129.0,1224,950.671504,134,1,1,0,0,data/map2.bmp
-73.5,222,953.088117,97,2,2,0,0,data/map1.bmp
-148.5,1100,963.052021,161,1,1,0,0,data/map2.bmp
-126.0,115,964.319784,36,2,2,0,0,data/map1.bmp
