#{"t_start": 1608296931.5065482, "env_id": null}
r,l,t,score,ghosts,level,win,d,map
839.5,334,822.145016,843,1,1,1,0,data/map2.bmp
647.0,301,825.828142,749,4,2,1,0,data/map2.bmp
899.5,298,829.405169,900,4,1,1,0,data/map2.bmp
788.5,260,832.87377,789,1,1,1,0,data/map1.bmp
642.0,372,837.711454,735,1,1,1,0,data/map2.bmp
804.5,271,841.229653,805,2,1,1,0,data/map2.bmp
788,267,844.77486,788,1,1,1,0,data/map1.bmp
753.0,269,848.631843,756,1,1,1,0,data/map2.bmp
83.5,249,851.854941,234,4,0,0,0,data/map1.bmp
750.5,283,855.353491,753,1,1,1,0,data/map2.bmp
535.5,366,860.511505,687,4,2,0,0,data/map1.bmp
817,370,865.651652,917,4,1,1,0,data/map1.bmp
88.5,366,870.143524,241,4,2,0,0,data/map2.bmp
738,355,874.943176,788,4,1,1,0,data/map2.bmp
788,265,878.476956,788,1,1,1,0,data/map1.bmp
257.0,366,883.36999,409,4,2,0,0,data/map2.bmp
898.5,300,887.248224,899,4,1,1,0,data/map2.bmp
732.5,332,891.685377,743,1,1,1,0,data/map2.bmp
868.0,400,897.034727,879,4,0,1,0,data/map2.bmp
792.5,321,901.610092,795,4,1,1,0,data/map2.bmp
246.0,270,905.380151,403,4,1,0,0,data/map1.bmp
227.5,356,910.221356,389,2,2,0,0,data/map1.bmp
291.5,237,913.278688,444,4,2,0,0,data/map1.bmp
874.5,320,917.927519,977,4,1,1,0,data/map1.bmp
737.0,327,922.090938,794,4,0,1,0,data/map2.bmp
801.5,274,926.018107,855,2,1,1,0,data/map2.bmp
835.0,275,929.652108,836,1,1,1,0,data/map1.bmp
98.5,339,933.881835,259,4,1,0,0,data/map2.bmp
646.5,443,940.113785,753,4,0,1,0,data/map1.bmp
771.5,299,943.910274,832,1,1,1,0,data/map1.bmp
1064.0,373,949.162742,1117,4,2,1,0,data/map1.bmp
621.0,510,956.076981,757,4,0,1,0,data/map2.bmp
148.5,2170,983.877037,309,4,2,0,0,data/map2.bmp
79.0,342,988.650874,254,4,2,0,0,data/map2.bmp
323.5,412,994.095075,484,2,2,0,0,data/map1.bmp
86.0,564,1001.710888,259,4,0,0,0,data/map2.bmp
741.0,289,1005.776476,802,2,1,1,0,data/map2.bmp
-171.5,171,1008.328955,34,4,2,0,0,data/map2.bmp
717.5,343,1012.935501,791,1,1,1,0,data/map2.bmp
800.0,288,1016.567545,802,2,1,1,0,data/map2.bmp
823.5,308,1020.506173,830,1,1,1,0,data/map1.bmp
487.0,323,1025.34336,656,4,2,0,0,data/map1.bmp
216.0,213,1028.090523,370,4,1,0,0,data/map1.bmp
859,412,1033.599885,909,2,2,1,0,data/map1.bmp
726.0,342,1037.973507,841,4,1,1,0,data/map2.bmp
486.5,329,1042.727266,639,4,2,0,0,data/map1.bmp
710.0,456,1048.505732,818,4,2,1,0,data/map2.bmp
672.5,552,1056.089476,799,4,0,1,0,data/map2.bmp
809.0,247,1059.435234,810,4,0,1,0,data/map2.bmp
741.0,320,1063.341431,745,2,1,1,0,data/map2.bmp
124.5,265,1066.893739,286,4,2,0,0,data/map2.bmp
363.5,249,1070.413811,516,4,2,0,0,data/map1.bmp
834,285,1074.316916,834,4,0,1,0,data/map1.bmp
984,289,1078.652746,984,4,1,1,0,data/map1.bmp
871,352,1083.051272,921,2,2,1,0,data/map1.bmp
881.0,502,1089.867916,991,4,1,1,0,data/map1.bmp
283.5,381,1095.006833,440,2,2,0,0,data/map1.bmp
790.5,488,1101.815697,894,4,1,1,0,data/map1.bmp
810.0,379,1107.012146,916,4,0,1,0,data/map1.bmp
855,273,1110.432416,855,1,1,1,0,data/map2.bmp
847.5,295,1114.756415,850,4,2,1,0,data/map2.bmp
831.0,358,1119.161106,938,4,1,1,0,data/map2.bmp
963.5,364,1124.112879,1019,2,2,1,0,data/map1.bmp
827.5,307,1128.447774,830,1,1,1,0,data/map1.bmp
927,322,1132.567666,927,2,2,1,0,data/map1.bmp
727.0,351,1137.346599,739,4,2,1,0,data/map2.bmp
