#{"t_start": 1588729871.6657398, "env_id": null}
r,l,t
82,86,41842.114711
94,185,41853.285488
136,275,41869.877987
134,383,41893.492754
78,40,41895.852728
131,328,41915.88215
89,79,41920.800539
131,173,41931.305343
1,8,41931.767313
137,552,41965.569937
180,159,41975.473124
90,72,41980.195105
139,677,42021.966733
124,228,42036.27457
185,372,42059.149858
202,667,42100.314808
193,223,42114.081867
118,233,42128.631206
151,375,42151.422225
203,766,42198.317947
7,16,42199.271669
118,251,42214.875293
250,334,42235.539245
92,60,42239.253009
9,16,42240.240653
194,919,42296.165181
2,11,42296.821548
190,372,42319.300962
181,103,42325.52049
160,604,42364.390785
125,546,42397.897032
1,7,42398.347569
118,371,42421.564095
149,208,42434.06503
119,115,42441.322958
269,487,42470.784451
149,142,42479.261611
88,77,42484.126747
84,514,42515.254594
3,12,42516.014561
230,331,42536.475693
174,118,42543.547126
148,203,42555.771279
137,113,42562.700685
7,14,42563.569385
230,428,42589.638361
138,161,42599.956619
256,289,42617.716176
6,19,42618.885515
9,18,42619.956714
177,325,42639.618397
137,109,42646.143904
92,110,42652.919367
80,471,42682.423078
250,459,42710.921742
1,16,42711.913454
173,322,42731.793738
185,203,42744.377863
185,189,42755.869622
172,246,42771.031206
227,257,42786.968994
275,1003,42848.256169
207,388,42872.229548
165,305,42891.414932
242,626,42930.149341
81,47,42933.037802
1,8,42933.505077
134,190,42945.168861
1,10,42945.806602
194,951,43004.032074
91,53,43007.312038
1,9,43007.884995
81,50,43010.927691
181,227,43024.822148
92,56,43028.280518
235,212,43041.194134
91,76,43045.904487
92,107,43052.404217
208,383,43075.890054
1,7,43076.306436
91,59,43080.015972
200,269,43096.51842
181,217,43110.039199
234,783,43158.049545
94,305,43176.674129
217,1258,43252.229162
179,105,43258.536352
4,22,43259.910711
206,245,43274.091756
164,660,43311.974966
135,211,43324.688689
267,638,43363.604606
85,63,43367.675485
98,626,43453.164055
238,390,43477.30701
271,287,43495.395484
5,12,43496.163522
103,250,43511.874732
87,79,43516.769509
15,99,43522.775593
95,220,43536.507531
3,8,43537.008841
231,250,43552.771943
87,69,43557.044245
317,570,43592.757049
216,357,43614.819208
94,74,43619.385575
181,228,43633.389309
87,57,43636.934858
90,60,43640.704234
90,92,43646.465309
127,564,43681.612236
172,171,43692.174105
99,723,43737.643722
229,244,43752.330358
291,510,43783.514827
252,445,43811.184808
219,554,43844.901437
197,344,43865.775687
86,74,43870.444281
211,317,43889.844031
237,585,43926.348416
102,73,43930.762035
203,387,43954.884465
187,247,43969.900939
202,282,43986.945295
122,591,44022.831046
217,755,44069.399325
179,198,44081.919152
187,133,44089.976393
4,17,44090.977103
176,1248,44167.261062
80,42,44169.822617
189,345,44190.923293
117,324,44211.216495
183,180,44222.191218
191,360,44244.170459
8,22,44245.528368
97,221,44259.725377
184,235,44274.215044
1,13,44275.043652
172,123,44282.453829
223,450,44309.931006
310,273,44326.361964
78,44,44329.246932
3,8,44329.779815
186,161,44339.49342
198,321,44358.891956
148,122,44366.351654
135,141,44374.665575
85,163,44384.709779
136,366,44407.363755
138,250,44423.062634
219,408,44448.351949
217,305,44466.665629
125,135,44474.787293
1,10,44475.434521
170,250,44490.728528
170,203,44503.19216
170,345,44524.312274
86,74,44529.054924
209,334,44549.997325
143,262,44565.882302
183,339,44586.933265
10,19,44588.032544
202,1219,44663.903717
185,119,44671.675001
176,139,44680.229726
228,175,44691.154598
173,308,44710.114232
8,11,44710.780784
150,238,44725.675572
220,166,44736.094014
317,368,44758.624765
220,324,44778.778974
2,13,44779.584364
87,258,44795.668733
139,117,44803.051805
206,245,44818.144967
185,128,44826.093843
7,26,44827.87619
2,19,44829.155571
317,521,44861.469775
138,176,44872.38435
183,165,44882.609548
219,276,44900.148192
85,83,44905.355207
103,254,44921.226038
234,248,44937.236483
245,446,44964.660034
200,933,45022.09337
218,333,45042.166191
164,149,45051.357401
157,137,45059.619959
79,77,45064.414387
212,301,45082.695842
8,15,45083.623683
5,14,45084.471741
1,8,45084.936462
124,91,45090.485847
273,1699,45195.013121
196,303,45213.509934
190,167,45223.763438
271,605,45260.810641
213,546,45294.714814
256,454,45322.999309
172,278,45340.033797
4,29,45341.88259
148,192,45353.796628
257,392,45378.261802
171,434,45405.247605
256,454,45432.51495
171,211,45445.331704
250,339,45466.272896
8,17,45467.309367
197,452,45494.535558
135,148,45504.009624
121,572,45539.101109
234,295,45557.115725
217,275,45573.696527
252,349,45595.364144
260,354,45616.828811
257,364,45639.457365
142,326,45659.381839
218,349,45681.056438
97,93,45686.768388
220,217,45700.496954
138,181,45711.60138
268,401,45735.711114
267,330,45755.598622
10,17,45756.681311
218,355,45778.970475
185,135,45787.607037
267,269,45804.187497
97,86,45809.406405
137,100,45815.666402
204,238,45830.245326
189,154,45839.802099
167,218,45853.419509
224,615,45890.909999
137,127,45899.081598
221,631,45934.992294
219,307,45954.058662
8,21,45955.249719
88,86,45960.232333
162,167,45969.774675
148,139,45977.786005
162,314,45995.892946
139,112,46002.328207
210,345,46023.5015
96,117,46030.755692
267,293,46049.088185
172,350,46071.021702
224,818,46121.58985
220,626,46159.747493
10,23,46161.17989
120,123,46168.661281
184,281,46185.675157
223,516,46217.103371
104,212,46230.076824
258,213,46243.346842
135,219,46256.784771
230,758,46303.236424
218,363,46325.87901
217,265,46341.875442
135,153,46351.111422
187,285,46368.925496
163,158,46378.331407
267,499,46408.533947
263,370,46431.26142
93,46,46434.082712
259,291,46452.276951
192,143,46461.125135
277,605,46498.293536
135,116,46505.528927
284,164,46515.701283
253,242,46530.579254
137,130,46538.671964
1,6,46539.075833
6,13,46539.897529
207,393,46564.09321
1,5,46564.385677
91,49,46567.388218
151,202,46579.884808
1,9,46580.446767
98,71,46584.833947
207,212,46598.182434
135,156,46607.885847
202,262,46624.066927
219,293,46642.853195
8,17,46643.898234
102,246,46659.524954
212,296,46678.15141
105,90,46683.654409
274,266,46700.25964
84,44,46702.90848
84,44,46705.49819
1,13,46706.294641
1,13,46707.138803
262,629,46745.863474
92,48,46748.881275
4,11,46749.567598
214,408,46774.439161
275,367,46796.355669
213,225,46809.954367
133,185,46821.261068
225,490,46851.335845
137,127,46858.963182
267,325,46879.337855
135,146,46888.25322
268,439,46915.538412
75,68,46919.787804
1,9,46920.381024
89,139,46928.978223
262,369,46951.758208
80,36,46954.029602
126,320,46973.545057
267,205,46986.32781
317,200,46998.2804
174,212,47011.63477
275,519,47043.183175
221,646,47082.261212
10,19,47083.432634
135,147,47092.461921
215,269,47108.790574
271,320,47128.505999
3,8,47129.008633
220,380,47152.863194
79,37,47155.068393
210,313,47174.07791
92,65,47178.125718
277,1483,47269.085376
84,69,47273.470377
141,224,47287.703177
319,320,47307.614292
135,120,47314.748648
217,268,47331.5135
188,135,47339.916718
2,16,47340.879219
92,45,47343.590578
211,799,47392.115873
216,342,47413.580436
211,528,47446.069497
2,13,47446.880736
7,16,47447.872833
5,20,47449.14723
91,51,47452.290637
2,11,47452.967956
7,18,47454.088686
284,326,47474.970038
312,442,47502.472752
115,412,47528.521325
217,269,47545.063728
84,42,47547.657552
91,80,47552.429794
150,331,47572.612355
83,225,47586.223487
269,1220,47661.052248
271,307,47679.83308
10,17,47680.872887
7,14,47681.722223
84,65,47685.697822
115,280,47702.995732
163,149,47712.091918
266,244,47726.873657
167,332,47747.221864
269,485,47776.961611
278,720,47821.821446
84,67,47825.955346
265,375,47849.793605
7,20,47851.144929
85,92,47857.073179
229,382,47880.581657
158,468,47909.049763
4,238,47923.567947
218,283,47940.801178
261,516,47973.354343
83,38,47975.602585
216,517,48006.944106
212,311,48025.699172
223,673,48066.673571
198,265,48083.378587
4,21,48084.673207
187,111,48091.461673
220,372,48113.699895
255,344,48134.372787
267,658,48175.477829
265,438,48202.723488
214,367,48225.025209
9,16,48226.031512
90,50,48229.063074
212,510,48260.144031
161,294,48278.797864
211,305,48297.621771
221,668,48337.738737
93,71,48341.830981
185,214,48354.907686
172,170,48365.486238
10,23,48366.982714
278,416,48392.493551
215,314,48411.336692
92,71,48415.572595
137,119,48422.813663
277,692,48465.175241
255,368,48487.500388
175,192,48499.318663
91,107,48506.067303
262,266,48520.668828
235,188,48530.310212
82,36,48532.11459
199,276,48546.413632
211,491,48571.840446
175,177,48581.267833
9,22,48582.513256
271,584,48617.967938
9,18,48619.056634
213,530,48651.922843
10,19,48653.127482
85,69,48657.436796
95,90,48663.141126
280,787,48711.438479
155,153,48720.533133
219,535,48753.1065
188,115,48760.095431
166,447,48787.349724
7,16,48788.358107
137,145,48797.242306
137,97,48803.413982
95,59,48807.113721
311,439,48834.261895
259,749,48880.58385
152,164,48890.64993
149,183,48902.064926
8,11,48902.716511
179,325,48922.584297
4,13,48923.40335
137,106,48929.96559
93,221,48943.418505
94,264,48959.754209
158,353,48981.210299
87,122,48988.828872
313,457,49017.275469
182,118,49024.514715
3,12,49025.280727
146,325,49045.620578
8,11,49046.324139
150,405,49071.427574
88,279,49088.287529
240,721,49132.399463
1,7,49132.813417
150,127,49140.828455
7,20,49142.041898
151,526,49174.138804
140,222,49188.31106
141,205,49200.82365
188,127,49208.681992
128,227,49222.884223
7,14,49223.74125
148,180,49234.699246
85,71,49238.93417
199,155,49248.353895
92,226,49262.100289
96,118,49269.213229
231,352,49290.069029
1,8,49290.54974
268,897,49345.00979
5,14,49345.848251
7,16,49346.838041
149,265,49364.108051
87,172,49375.212282
204,472,49402.871638
285,251,49417.376416
10,19,49418.52614
261,334,49437.974829
237,1911,49640.395853
8,160,49650.243696
263,702,49693.172798
256,358,49715.34792
208,1054,49780.255084
272,387,49803.872058
180,175,49814.39387
9,18,49815.467305
92,186,49826.967936
130,367,49849.845246
130,140,49858.823616
130,691,49902.269902
9,16,49903.220744
111,121,49910.75433
161,110,49917.445826
7,14,49918.342685
255,992,49979.251456
95,68,49983.397654
264,898,50037.675573
179,113,50044.558672
194,467,50073.01002
136,425,50099.608618
129,129,50107.82156
179,208,50120.541973
159,352,50141.923401
130,426,50167.912251
129,117,50175.058742
136,275,50191.989646
93,50,50195.055624
88,44,50197.672984
129,398,50222.090825
259,575,50257.803167
179,171,50268.33606
224,1086,50335.904885
129,184,50347.366174
263,687,50389.833746
212,620,50427.770576
3,15,50428.768093
78,45,50431.591512
137,189,50443.216546
258,344,50464.374002
201,378,50487.808767
221,832,50539.554475
168,303,50558.581102
137,1440,50646.543655
111,110,50653.342897
5,18,50654.420539
125,182,50665.706552
235,364,50688.177474
187,200,50700.830267
149,144,50709.888092
168,88,50715.405403
1,13,50716.247389
2,7,50716.664773
8,15,50717.605727
7,20,50718.812241
3,12,50719.565025
135,110,50726.467923
136,332,50746.813343
135,117,50754.107476
208,305,50772.879475
187,534,50805.955923
4,11,50806.630878
219,596,50843.059325
83,280,50860.721531
123,137,50869.266215
2,13,50870.092854
135,98,50876.125489
136,107,50882.437499
19,83,50887.578407
35,300,50906.119251
173,85,50911.482617
199,192,50923.614468
187,124,50931.063316
138,215,50944.27227
97,122,50951.949119
190,250,50967.012331
91,43,50969.642632
181,505,51000.430041
140,268,51016.897024
320,1135,51086.640695
232,237,51101.393842
9,18,51102.616048
262,512,51134.343344
100,98,51140.355791
85,183,51151.773237
215,512,51183.391469
202,463,51211.907157
88,37,51214.251651
117,156,51223.981441
138,289,51241.878962
91,234,51256.291809
6,13,51257.079092
137,169,51267.359693
187,134,51275.35938
317,509,51305.755039
92,82,51310.713357
124,255,51326.018615
189,241,51340.750515
95,69,51345.064058
86,112,51351.908794
7,14,51352.744694
92,57,51356.169444
185,271,51372.706183
88,135,51381.094065
93,69,51385.239343
8,209,51398.635286
92,116,51405.708009
237,226,51420.079053
189,621,51458.770598
84,98,51464.649125
83,77,51469.349993
115,327,51489.625957
88,76,51494.403739
138,164,51504.491965
97,94,51510.257887
90,48,51513.178768
175,482,51543.31671
186,385,51567.281816
265,268,51583.950019
277,193,51595.857415
5,21,51597.13716
210,281,51614.677919
93,48,51617.527716
233,531,51651.084908
203,391,51675.376789
265,420,51701.381926
178,88,51706.780465
266,923,51763.525018
135,690,51806.116214
263,319,51825.561335
124,163,51835.531524
9,21,51836.877339
185,151,51846.203732
185,189,51858.336521
95,223,51872.536102
185,280,51889.300339
141,184,51900.436695
84,87,51905.72169
264,766,51952.996606
250,383,51976.500819
267,568,52011.307035
4,11,52012.017044
96,77,52016.903721
135,245,52032.796909
185,172,52043.317661
201,407,52067.747214
78,91,52073.446579
144,191,52084.876187
185,523,52117.277065
146,331,52137.794371
2,219,52151.125666
90,78,52156.028097
2,7,52156.440167
212,411,52181.82299
185,162,52192.096195
145,222,52206.312858
9,30,52208.215101
201,431,52234.620265
221,902,52291.673824
180,323,52311.525581
194,224,52325.339492
182,115,52332.607861
135,241,52347.358591
194,192,52359.219212
179,148,52368.220559
96,164,52378.367862
96,82,52383.471089
7,16,52384.489512
112,560,52419.54812
215,448,52447.473908
90,80,52452.564346
129,247,52467.685531
161,454,52495.807896
189,314,52515.540059
179,108,52522.30064
267,392,52547.238898
267,591,52584.507792
284,577,52620.221439
92,70,52624.488834
39,93,52630.320619
130,128,52638.41227
211,711,52681.272123
99,237,52695.942898
136,572,52730.277028
181,140,52738.969829
133,179,52749.982635
263,628,52788.92684
199,297,52806.806606
165,686,52848.812155
183,375,52872.320525
10,15,52873.285094
148,228,52887.520362
246,285,52905.144395
182,644,52944.00019
92,59,52947.657293
257,645,52987.612722
264,509,53018.814757
189,155,53028.359497
3,8,53028.84375
4,7,53029.26022
139,240,53043.715111
200,443,53071.159949
149,156,53080.893884
7,16,53081.904085
167,94,53087.718033
150,601,53125.084122
313,438,53151.716017
97,128,53159.843676
139,203,53172.803909
189,157,53182.351365
297,229,53196.601789
95,296,53215.022743
249,446,53242.5977
9,18,53243.756234
174,979,53304.084274
8,21,53305.31776
175,1358,53388.412269
152,442,53416.010769
115,318,53435.612935
2,14,53436.505278
189,154,53445.801367
299,515,53477.136765
270,573,53512.488536
165,178,53523.587491
9,14,53524.463373
88,52,53527.691009
135,158,53537.73823
8,15,53538.712969
236,436,53566.14093
190,263,53582.975641
135,187,53594.806036
161,148,53604.153722
200,528,53636.859622
183,129,53644.75905
185,125,53652.492854
5,10,53653.119993
266,254,53669.120933
267,570,53704.869347
8,15,53705.79437
309,239,53720.263983
42,100,53726.365469
135,218,53739.914332
249,457,53768.166763
252,487,53798.234903
135,256,53813.850173
4,9,53814.413292
262,305,53832.993724
131,149,53842.184271
129,134,53850.5417
10,17,53851.58424
205,321,53871.412931
92,71,53875.880129
198,379,53899.206745
202,257,53915.294003
91,105,53921.665991
200,392,53945.783127
253,484,53975.55003
5,10,53976.176182
137,178,53987.312955
222,753,54032.735828
132,241,54047.489769
7,14,54048.32046
211,506,54078.793115
217,383,54102.321952
129,416,54127.479909
136,251,54142.700821
122,351,54164.520158
233,329,54184.541634
250,381,54208.138111
234,250,54223.380722
234,193,54235.385956
199,317,54255.091469
138,363,54277.314492
4,17,54278.337555
126,577,54307.021543
122,672,54328.058759
1,8,54328.325241
141,163,54333.180604
201,481,54347.955138
265,290,54356.815331
301,598,54375.097511
135,1075,54408.278758
87,293,54417.242257
232,227,54424.31057
2,15,54424.803444
112,124,54428.617632
145,149,54433.345972
114,218,54439.836685
252,203,54446.065352
146,267,54454.324805
140,165,54459.516376
221,594,54477.741113
221,1202,54514.365864
83,69,54516.44639
191,115,54520.098714
86,44,54521.418029
1,5,54521.571158
217,582,54539.535305
230,951,54568.753405
196,824,54593.640768
2,10,54593.934961
92,44,54595.216117
187,431,54608.429203
272,631,54627.488197
92,54,54629.207916
258,256,54637.046736
94,70,54639.335096
3,12,54639.738787
77,46,54641.24305
132,578,54659.116883
87,46,54660.590982
148,696,54682.127241
94,48,54683.533087
135,152,54688.064628
200,284,54696.852651
200,643,54716.35493
9,16,54716.842469
259,699,54737.584544
187,108,54740.808659
264,754,54763.291581
196,223,54770.107549
96,172,54775.251165
158,272,54783.527556
144,142,54787.817588
144,192,54793.932355
79,37,54795.161025
88,62,54797.223604
187,142,54801.658252
211,319,54811.292215
137,92,54814.192652
257,803,54838.473351
232,323,54848.023508
208,415,54860.714271
256,288,54869.542389
101,154,54874.285285
2,7,54874.51691
2,12,54874.915015
3,9,54875.216272
95,86,54877.931319
137,147,54882.489632
89,62,54884.39744
232,267,54892.740446
220,328,54902.847096
143,167,54908.029004
135,149,54912.754952
89,315,54922.570203
94,46,54924.043931
1,9,54924.343492
262,370,54935.679784
212,590,54953.843662
266,961,54982.925929
136,680,55003.644333
187,146,55008.049505
219,1073,55074.257314
271,821,55191.823366
83,68,55195.93805
87,60,55199.48094
182,152,55208.637462
135,339,55229.52229
90,115,55236.615724
135,168,55246.827754
260,564,55281.444908
87,65,55285.342439
6,18,55286.457588
7,16,55287.415597
188,509,55318.879349
8,13,55319.746877
5,18,55320.823738
262,485,55349.789055
260,915,55405.821875
304,432,55432.729216
93,130,55440.675171
7,14,55441.535877
200,395,55465.371371
74,87,55470.596962
135,159,55480.149849
217,539,55512.771999
184,112,55519.543047
8,21,55520.779885
188,308,55539.654237
184,316,55559.054196
8,23,55560.417632
268,668,55600.753798
5,18,55601.846726
88,85,55607.059544
91,51,55610.166874
185,130,55617.970212
171,127,55625.723758
93,65,55629.793071
154,645,55669.453701
215,1243,55745.197551
262,308,55763.766242
219,348,55784.801481
185,219,55798.307673
188,604,55835.622742
233,1044,55899.171909
151,181,55909.968231
137,119,55917.17917
256,333,55937.421315
118,503,55968.117479
10,19,55969.251222
222,479,55998.405576
8,19,55999.520745
35,93,56005.243975
72,58,56008.686897
77,50,56011.708142
267,373,56034.589311
275,590,56070.895368
142,277,56087.870817
259,468,56116.772673
138,174,56127.492098
135,168,56137.812593
222,416,56163.400304
207,402,56187.997348
219,502,56218.888794
139,116,56225.99198
283,1024,56288.25969
261,499,56319.81853
197,204,56332.22809
171,128,56340.288745
176,212,56353.102114
270,525,56382.007979
263,316,56399.73397
6,12,56400.403855
157,392,56422.378221
269,317,56440.568415
2,7,56440.984364
313,355,56461.407956
103,235,56474.720165
137,154,56483.761793
144,1143,56552.82875
135,167,56562.842712
136,139,56571.367523
21,159,56580.868945
263,276,56597.483936
263,293,56615.791211
187,254,56631.06845
189,183,56642.102275
138,374,56664.791618
168,458,56692.751691
317,593,56729.023459
267,383,56752.293009
7,14,56753.15111
3,10,56753.784853
312,522,56785.520408
264,512,56816.981288
2,9,56817.497968
137,218,56830.936357
268,503,56861.292239
190,251,56876.820745
87,97,56882.831386
94,100,56889.053549
92,250,56904.248661
140,400,56928.988364
188,245,56943.893209
94,69,56948.024545
137,149,56957.216974
196,757,57003.145364
79,78,57007.905874
7,16,57008.937809
136,429,57035.356953
164,664,57076.225879
93,404,57101.24773
139,278,57118.462051
8,11,57119.165543
86,41,57121.670511
92,56,57125.071127
187,214,57138.050056
87,106,57144.541838
11,24,57146.056154
94,157,57155.600734
191,317,57174.984078
139,399,57199.230911
143,276,57216.517665
315,487,57245.882632
217,597,57282.329034
5,23,57283.725334
94,92,57289.362816
188,795,57338.928665
310,415,57363.604322
138,262,57379.346416
129,245,57394.147465
143,724,57438.869861
195,544,57472.436249
1,14,57473.381698
129,193,57485.232039
149,615,57522.489656
90,77,57527.086365
2,11,57527.74792
136,178,57538.307893
91,59,57541.912496
5,14,57542.75987
86,103,57548.910001
7,22,57550.177591
186,166,57560.025665
135,251,57575.42963
92,55,57578.818989
94,69,57583.200824
5,14,57584.100514
6,13,57584.860384
82,52,57587.915487
137,175,57598.790622
88,80,57603.553375
9,16,57604.494736
151,147,57613.354537
92,93,57619.052315
153,409,57643.558382
118,196,57655.510013
125,173,57666.14429
145,262,57681.679776
90,73,57686.09895
171,234,57700.36114
273,402,57724.335799
9,16,57725.285572
161,1888,57839.10798
10,33,57841.037963
10,13,57841.803233
167,98,57847.692584
194,135,57856.101849
273,599,57892.171433
18,472,57921.044086
135,578,57956.480599
1,36,57958.703689
4,9,57959.237549
138,173,57969.782209
263,253,57985.115594
110,666,58025.727598
187,170,58036.520045
265,412,58062.160319
258,358,58084.055096
104,214,58097.337553
9,48,58100.266259
135,141,58108.958973
156,588,58145.117669
137,334,58165.617695
182,585,58201.621592
268,566,58235.731306
176,131,58243.567412
160,1270,58319.878495
155,389,58343.733709
206,607,58380.328323
13,500,58411.115897
160,592,58446.926904
209,340,58467.523094
153,389,58491.158803
206,255,58506.736763
264,304,58524.680735
96,54,58527.951006
5,12,58528.671299
3,10,58529.29953
7,12,58530.000162
97,76,58534.485178
144,230,58548.281824
271,348,58569.107204
177,98,58575.15103
154,541,58608.072796
211,275,58624.688465
248,362,58646.804533
176,203,58659.29361
161,134,58667.424715
9,15,58668.330485
135,147,58677.422152
117,163,58687.506966
247,420,58713.602473
89,204,58726.194536
137,183,58737.883165
141,244,58752.40525
247,260,58767.969898
312,213,58781.084903
217,312,58799.697532
6,12,58800.414909
1,74,58804.771542
84,62,58808.580305
153,180,58819.364353
10,17,58820.376692
199,204,58832.686724
189,134,58840.826443
91,66,58845.074869
138,152,58854.308654
259,457,58882.145675
265,230,58896.309648
153,329,58916.392352
2,13,58917.217281
82,46,58920.013184
136,234,58934.274712
306,304,58952.997971
7,16,58953.982267
8,21,58955.271632
159,113,58962.32333
9,14,58963.180801
212,1250,59039.44371
87,43,59042.027464
166,102,59048.391359
304,271,59065.194151
153,166,59075.235951
154,459,59103.138555
135,155,59112.323962
82,131,59120.511837
200,279,59137.505313
138,168,59147.992755
203,504,59178.857363
137,147,59188.084871
314,489,59219.230503
153,227,59233.091273
138,163,59242.992627
192,763,59289.199481
163,2908,59467.558309
280,1120,59535.801311
176,204,59548.787395
2,10,59549.452193
2,8,59549.919419
6,19,59551.024296
143,273,59567.469732
3,10,59568.083601
207,786,59616.44031
5,19,59617.573645
113,223,59631.211569
90,188,59642.720922
215,916,59699.22827
273,830,59750.294414
83,62,59753.996391
92,52,59757.116094
191,284,59774.115576
4,11,59774.756708
149,551,59806.337304
190,191,59816.112795
143,557,59844.200176
174,103,59849.547412
268,814,59891.061296
189,127,59898.959502
234,638,59938.104416
268,358,59960.069332
270,258,59975.932825
129,336,59996.624585
225,403,60021.016562
240,314,60040.072153
88,62,60043.896257
313,488,60074.0284
185,182,60084.938684
92,104,60091.318055
2,9,60091.874377
185,121,60099.251769
11,20,60100.504077
7,20,60101.699861
263,321,60121.88952
213,322,60141.565649
124,117,60148.618471
7,10,60149.20234
180,479,60178.421314
5,16,60179.42749
140,104,60185.778479
137,129,60193.812099
141,312,60213.053502
137,544,60246.300642
192,460,60274.455922
201,919,60330.679324
2,16,60331.666725
215,356,60353.356739
262,623,60390.673539
76,406,60414.924646
180,194,60426.579237
234,226,60439.993164
201,1077,60504.863594
139,248,60519.806532
275,634,60557.934962
8,37,60560.278617
203,386,60583.996291
278,323,60603.651161
10,17,60604.674212
2,11,60605.330313
211,703,60648.289546
253,258,60664.113459
5,14,60664.979791
232,232,60679.150408
85,354,60701.029537
261,256,60716.566535
263,408,60741.674949
242,1107,60809.417453
185,141,60818.503124
92,45,60821.353767
258,336,60841.815254
184,181,60853.027171
169,87,60858.554178
267,334,60879.360173
217,513,60909.993355
219,452,60936.816798
263,230,60950.576929
167,642,60988.586454
136,206,61000.917827
136,131,61008.823974
137,153,61018.185342
82,135,61026.225751
102,172,61036.63837
135,150,61046.280753
231,1124,61114.910179
3,11,61115.590761
262,226,61129.112293
185,377,61151.776549
185,141,61160.317733
168,85,61165.482184
133,932,61221.322786
